Region,Area,Depth,Transect,Family,Species,Length,Number,a,b,lev,diet
N,LD,5,T1,Pomacentridae,Pomacentrus_coelestis,10,88,0.01479,2.92,BP,PL
N,LD,5,T1,Pomacentridae,Stegastes_cf_obreptus,15,1,0.01995,2.99,BP,HD
N,LD,5,T1,Apogonidae,Rhabdamia_gracilis,5,441,0.01047,3.1,BP,PL
N,LD,5,T1,Pomacentridae,Pomacentrus_coelestis,10,14,0.01479,2.92,BP,PL
N,LD,5,T1,Pomacentridae,Stegastes_cf_obreptus,15,1,0.01995,2.99,BP,HD
N,LD,5,T1,Apogonidae,Rhabdamia_gracilis,5,550,0.01047,3.1,BP,PL
N,LD,5,T1,Pomacentridae,Pomacentrus_coelestis,10,6,0.01479,2.92,BP,PL
N,LD,5,T1,Apogonidae,Rhabdamia_gracilis,5,600,0.01047,3.1,BP,PL
N,LD,5,T1,Pomacentridae,Pomacentrus_coelestis,10,35,0.01479,2.92,BP,PL
N,LD,5,T1,Pomacentridae,Pomacentrus_coelestis,5,8,0.01479,2.92,BP,PL
N,LD,5,T2,Pomacentridae,Stegastes_cf_obreptus,15,1,0.01995,2.99,BP,HD
N,LD,5,T2,Labridae,Halichoeres_cf_melanochir,10,1,0.01,3.08,BP,MI
N,LD,5,T2,Pomacentridae,Stegastes_cf_obreptus,10,1,0.01995,2.99,BP,HD
N,LD,5,T2,Labridae,Halichoeres_cf_melanochir,10,1,0.01,3.08,BP,MI
N,LD,5,T2,Sphyraenidae,Sphyraena_flavicauda,10,1,0.00813,2.88,P,PI
N,LD,5,T2,Chanidae,Mugil_cf_cephalus,55,1,0.00851,3.06,P,O
N,LD,5,T2,Labridae,Halichoeres_cf_melanochir,10,1,0.01,3.08,BP,MI
N,LD,5,T2,Aulostomidae,Aulostomus_chinensis,70,1,0.002,3.2,BP,PI
N,LD,5,T2,Labridae,Halichoeres_cf_melanochir,10,1,0.01,3.08,BP,MI
N,LD,5,T2,Sphyraenidae,Sphyraena_flavicauda,10,1,0.00813,2.88,P,PI
N,LD,5,T2,Pomacentridae,Pomacentrus_coelestis,10,15,0.01479,2.92,BP,PL
N,LD,5,T2,Sphyraenidae,Sphyraena_flavicauda,10,50,0.00813,2.88,P,PI
N,LD,5,T2,Aulostomidae,Aulostomus_chinensis,70,1,0.002,3.2,BP,PI
N,LD,5,T2,Pomacentridae,Pomacentrus_coelestis,10,50,0.01479,2.92,BP,PL
N,LD,5,T2,,unknown,20,3,,,,
N,LD,5,T3,Pomacentridae,Pomacentrus_coelestis,10,50,0.01479,2.92,BP,PL
N,LD,5,T3,Apogonidae,Rhabdamia_gracilis,5,200,0.01047,3.1,BP,PL
N,LD,5,T3,Pomacentridae,Chromis_notata,10,3,0.0166,3.04,BP,O
N,LD,5,T3,,unknown,10,1,,,,
N,LD,5,T4,Pomacentridae,Stegastes_cf_obreptus,10,1,0.01995,2.99,BP,HD
N,LD,5,T4,Fistulariidae,Fistularia_cf_commersoni,100,1,0.0024,2.94,BP,PI
N,LD,5,T4,Pomacentridae,Chromis_notata,15,1,0.0166,3.04,BP,O
N,LD,5,T4,Labridae,Halichoeres_cf_melanochir,30,1,0.01,3.08,BP,MI
N,LD,5,T4,Chaetodontidae,Chaetodon_cf_auriga,25,1,0.02512,2.99,BP,O
N,LD,5,T4,Apogonidae,Rhabdamia_gracilis,5,10,0.01047,3.1,BP,PL
N,LD,5,T4,Pomacentridae,Pomacentrus_coelestis,10,80,0.01479,2.92,BP,PL
N,LD,5,T5,Labridae,Stethojulis_strigiventer,15,1,0.00832,2.99,BP,MI
N,LD,5,T5,Labridae,Halichoeres_cf_melanochir,10,1,0.01,3.08,BP,MI
N,LD,5,T5,Pomacentridae,Pomacentrus_coelestis,10,60,0.01479,2.92,BP,PL
N,LD,5,T5,Pomacentridae,Stegastes_cf_obreptus,15,2,0.01995,2.99,BP,HD
N,LD,5,T5,Labridae,Labridae_sp,10,1,,,,
N,LD,5,T5,Pomacentridae,Stegastes_cf_obreptus,15,5,0.01995,2.99,BP,HD
N,LD,5,T5,Labridae,Labroides_dimidiatus,10,1,0.00447,3.14,BP,MI
N,LD,5,T5,Labridae,Labridae_sp,10,1,,,,
N,LD,15,T1,Apogonidae,Rhabdamia_gracilis,5,2000,0.01047,3.1,BP,PL
N,LD,15,T1,Lutjanidae,Lutjanus_cf_vitta,20,5,0.01479,2.98,BP,MI
N,LD,15,T1,Pomacentridae,Pomacentrus_coelestis,10,15,0.01479,2.92,BP,PL
N,LD,15,T1,Chaetodontidae,Chaetodon_auripes,15,1,0.02291,3.01,BP,MI
N,LD,15,T2,Pomacentridae,Chromis_fumea,10,1,0.01622,3.08,BP,PL
N,LD,15,T2,Pomacentridae,Pomacentrus_coelestis,10,4,0.01479,2.92,BP,PL
N,LD,15,T2,Apogonidae,Rhabdamia_gracilis,5,2000,0.01047,3.1,BP,PL
N,LD,15,T3,Apogonidae,Rhabdamia_gracilis,5,100,0.01047,3.1,BP,PL
N,LD,15,T3,Pomacentridae,Pomacentrus_coelestis,10,10,0.01479,2.92,BP,PL
N,LD,15,T3,Pomacentridae,Chromis_fumea,10,4,0.01622,3.08,BP,PL
N,LD,15,T3,Pomacentridae,Stegastes_cf_obreptus,15,1,0.01995,2.99,BP,HD
N,LD,15,T3,Labridae,Labridae_sp,10,1,,,,
N,LD,15,T4,Apogonidae,Rhabdamia_gracilis,5,500,0.01047,3.1,BP,PL
N,LD,15,T4,Pomacentridae,Pomacentrus_coelestis,10,3,0.01479,2.92,BP,PL
N,LD,15,T4,Pomacentridae,Stegastes_cf_obreptus,10,1,0.01995,2.99,BP,HD
N,LD,15,T4,Diodontidae,Diodon_cf_holocanthus,20,1,0.04365,2.87,BP,MI
N,LD,15,T5,Apogonidae,Rhabdamia_gracilis,5,2000,0.01047,3.1,BP,PL
N,LD,15,T5,Scaridae,Pseudolabrus_cf_eoethinus,20,1,0.01,3.05,BP,MI
N,BT,5,T1,Labridae,Hemigymnus_melapterus,25,1,0.01202,3.06,BP,MI
N,BT,5,T1,Fistulariidae,Fistularia_cf_commersoni,60,1,0.0024,2.94,BP,PI
N,BT,5,T1,Pomacentridae,Pomacentrus_coelestis,10,150,0.01479,2.92,BP,PL
N,BT,5,T1,Siganidae,Siganus_fuscescens,5,60,0.01413,2.94,BP,MH
N,BT,5,T1,Diodontidae,Diodon_cf_holocanthus,20,2,0.04365,2.87,BP,MI
N,BT,5,T1,Chaetodontidae,Chaetodon_cf_auriga,10,1,0.02512,2.99,BP,O
N,BT,5,T1,Chaetodontidae,Chaetodon_cf_octofasciatus,15,1,0.02291,3.01,BP,SI
N,BT,5,T1,,unknown,10,2,,,,
N,BT,5,T1,Microdesmidae,Ptereleotris_evides,10,25,0.00389,3.12,BP,PL
N,BT,5,T2,Pomacentridae,Pomacentrus_coelestis,10,250,0.01479,2.92,BP,PL
N,BT,5,T2,Siganidae,Siganus_fuscescens,5,30,0.01413,2.94,BP,MH
N,BT,5,T2,Diodontidae,Diodon_cf_holocanthus,20,3,0.04365,2.87,BP,MI
N,BT,5,T2,Labridae,Anampses_cf_caeruleopunctatus,10,1,0.01,3.06,BP,MI
N,BT,5,T3,Microdesmidae,Ptereleotris_evides,10,16,0.00389,3.12,BP,PL
N,BT,5,T3,Pomacentridae,Pomacentrus_coelestis,10,100,0.01479,2.92,BP,PL
N,BT,5,T3,Chaetodontidae,Chaetodon_cf_auriga,10,1,0.02512,2.99,BP,O
N,BT,5,T3,Pomacentridae,Stegastes_cf_obreptus,20,1,0.01995,2.99,BP,HD
N,BT,5,T3,Labridae,Parajulis_cf_poecilepterus,10,2,0.01175,3.12,BP,MI
N,BT,5,T3,Pomacentridae,Stegastes_cf_obreptus,15,1,0.01995,2.99,BP,HD
N,BT,5,T3,Siganidae,Siganus_fuscescens,5,50,0.01413,2.94,BP,MH
N,BT,5,T3,Fistulariidae,Fistularia_cf_commersoni,60,1,0.0024,2.94,BP,PI
N,BT,5,T3,Labridae,Thalassoma_cf_jansenii,25,1,0.977,3.04,BP,MI
N,BT,5,T4,Pomacentridae,Pomacentrus_coelestis,10,160,0.01479,2.92,BP,PL
N,BT,5,T4,Siganidae,Siganus_fuscescens,5,60,0.01413,2.94,BP,MH
N,BT,5,T4,Labridae,Coris_cf_gaimard,15,1,0.01,3.06,BP,MI
N,BT,5,T4,Diodontidae,Diodon_cf_holocanthus,25,2,0.04365,2.87,BP,MI
N,BT,5,T4,Aulostomidae,Aulostomus_chinensis,80,1,0.002,3.2,BP,PI
N,BT,5,T4,Labridae,Thalassoma_cf_hardwicke,10,1,0.01,3.04,BP,MI
N,BT,5,T4,Labridae,Halichoeres_cf_nebulosus,10,2,0.01,3.08,BP,MI
N,BT,5,T4,Labridae,Thalassoma_cf_lunare,15,1,0.01259,2.96,BP,MI
N,BT,5,T4,Labridae,Thalassoma_cf_jansenii,15,2,0.977,3.04,BP,MI
N,BT,5,T4,Apogonidae,Ostorhinchus_cookii,10,4,0.01514,3.08,BP,MI
N,BT,5,T4,Labridae,Labroides_dimidiatus,10,1,0.00447,3.14,BP,MI
N,BT,5,T4,Labridae,Thalassoma_cf_amblycephalum,15,3,0.977,3.04,BP,PL
N,BT,5,T4,Labridae,Labridae_sp,10,1,,,,
N,BT,5,T4,Pomacentridae,Stegastes_cf_obreptus,18,1,0.01995,2.99,BP,HD
N,BT,5,T5,Pomacentridae,Pomacentrus_coelestis,10,100,0.01479,2.92,BP,PL
N,BT,5,T5,Siganidae,Siganus_fuscescens,5,100,0.01413,2.94,BP,MH
N,BT,5,T5,Pomacentridae,Stegastes_cf_obreptus,10,1,0.01995,2.99,BP,HD
N,BT,5,T5,Labridae,Labridae_sp,10,1,,,,
N,BT,5,T5,Pomacentridae,Stegastes_cf_obreptus,20,1,0.01995,2.99,BP,HD
N,BT,5,T5,Labridae,Thalassoma_cf_jansenii,10,1,0.977,3.04,BP,MI
N,BT,5,T5,Microdesmidae,Ptereleotris_evides,10,5,0.00389,3.12,BP,PL
N,BT,5,T5,Diodontidae,Diodon_cf_holocanthus,25,1,0.04365,2.87,BP,MI
N,BT,15,T1,Microdesmidae,Ptereleotris_evides,10,7,0.00389,3.12,BP,PL
N,BT,15,T1,Lutjanidae,Lutjanus_cf_ophuysenii,25,1,0.01479,2.97,BP,MI
N,BT,15,T2,Pomacentridae,Chromis_fumea,15,5,0.01622,3.08,BP,PL
N,BT,15,T2,,unknown,5,1,,,,
N,BT,15,T3,Pomacentridae,Pomacentrus_coelestis,10,20,0.01479,2.92,BP,PL
N,BT,15,T3,Pomacentridae,Chromis_notata,15,2,0.0166,3.04,BP,O
N,BT,15,T3,Labridae,Labridae_sp,10,1,,,,
N,BT,15,T4,Serranidae,Cephalopholis_boenak,25,1,0.01259,3.05,BP,PI
N,BT,15,T4,,unknown,15,2,,,,
N,BT,15,T4,Pomacentridae,Pomacentrus_coelestis,10,7,0.01479,2.92,BP,PL
N,BT,15,T4,Diodontidae,Diodon_cf_holocanthus,25,1,0.04365,2.87,BP,MI
N,BT,15,T5,Pomacentridae,Pomacentrus_coelestis,10,40,0.01479,2.92,BP,PL
N,BT,15,T5,Microdesmidae,Ptereleotris_evides,10,1,0.00389,3.12,BP,PL
N,BT,15,T5,Labridae,Anampses_cf_caeruleopunctatus,10,1,0.01,3.06,BP,MI
N,BT,15,T5,Labridae,unknown,5,2,,,,
N,CJ,5,T1,Labridae,Cheilinus_cf_trilobatus,30,1,0.01905,3,BP,MI
N,CJ,5,T1,Pomacentridae,Stegastes_cf_obreptus,20,16,0.01995,2.99,BP,HD
N,CJ,5,T1,Pomacentridae,Pomacentrus_coelestis,10,250,0.01479,2.92,BP,PL
N,CJ,5,T1,Pomacentridae,Chromis_notata,15,2,0.0166,3.04,BP,O
N,CJ,5,T1,Pomacentridae,Chromis_fumea,15,2,0.01622,3.08,BP,PL
N,CJ,5,T1,Pomacentridae,Abudefduf_sexfasciatus,15,30,0.02344,3.05,BP,O
N,CJ,5,T1,Labridae,Halichoeres_sp,10,2,,,,
N,CJ,5,T1,Pomacentridae,Dascyllus_trimaculatus,5,1,0.03467,2.99,BP,O
N,CJ,5,T1,Labridae,Thalassoma_cf_lunare,25,1,0.01259,2.96,BP,MI
N,CJ,5,T2,Pomacentridae,Pomacentrus_coelestis,10,200,0.01479,2.92,BP,PL
N,CJ,5,T2,Serranidae,Cephalopholis_boenak,30,1,0.01259,3.05,BP,PI
N,CJ,5,T2,Pomacentridae,Stegastes_cf_obreptus,20,13,0.01995,2.99,BP,HD
N,CJ,5,T2,Serranidae,Cephalopholis_boenak,30,1,0.01259,3.05,BP,PI
N,CJ,5,T2,Sphyraenidae,Sphyraena_flavicauda,35,2,0.00813,2.88,P,PI
N,CJ,5,T2,Labridae,Halichoeres_cf_margaritaceus,20,1,0.01,3.08,BP,MI
N,CJ,5,T2,Pomacentridae,Chromis_notata,15,2,0.0166,3.04,BP,O
N,CJ,5,T2,Pomacentridae,Chromis_fumea,15,3,0.01622,3.08,BP,PL
N,CJ,5,T2,Siganidae,Siganus_fuscescens,5,50,0.01413,2.94,BP,MH
N,CJ,5,T2,Labridae,Labridae_sp,15,3,,,,
N,CJ,5,T2,Diodontidae,Diodon_cf_holocanthus,25,1,0.04365,2.87,BP,MI
N,CJ,5,T2,Microdesmidae,Ptereleotris_evides,5,50,0.00389,3.12,BP,PL
N,CJ,5,T3,Pomacentridae,Pomacentrus_coelestis,10,200,0.01479,2.92,BP,PL
N,CJ,5,T3,Pomacentridae,Stegastes_cf_obreptus,20,17,0.01995,2.99,BP,HD
N,CJ,5,T3,Labridae,Thalassoma_cf_lunare,10,2,0.01259,2.96,BP,MI
N,CJ,5,T3,Labridae,Thalassoma_cf_lunare,15,1,0.01259,2.96,BP,MI
N,CJ,5,T3,Scaridae,Scaridae_sp,25,1,,,,
N,CJ,5,T3,Labridae,Cheilinus_cf_trilobatus,30,1,0.01905,3,BP,MI
N,CJ,5,T3,Pomacentridae,Chromis_fumea,15,1,0.01622,3.08,BP,PL
N,CJ,5,T3,Pomacentridae,Chromis_notata,15,7,0.0166,3.04,BP,O
N,CJ,5,T3,,unknown,5,10,,,,
N,CJ,5,T3,Labridae,Macropharyngodon_negrosensis,5,1,0.01,3.06,BP,MI
N,CJ,5,T3,Fistulariidae,Fistularia_cf_commersoni,60,1,0.0024,2.94,BP,PI
N,CJ,5,T4,Pomacentridae,Pomacentrus_coelestis,10,200,0.01479,2.92,BP,PL
N,CJ,5,T4,Pomacentridae,Stegastes_cf_obreptus,18,15,0.01995,2.99,BP,HD
N,CJ,5,T4,Pomacentridae,Abudefduf_sexfasciatus,10,40,0.02344,3.05,BP,O
N,CJ,5,T4,Pomacentridae,Chromis_notata,15,1,0.0166,3.04,BP,O
N,CJ,5,T4,Aulostomidae,Aulostomus_chinensis,70,1,0.002,3.2,BP,PI
N,CJ,5,T4,Acanthuridae,Acanthurus_xanthopterus,15,1,0.01445,3,BP,HD
N,CJ,5,T4,Serranidae,Cephalopholis_boenak,30,1,0.01259,3.05,BP,PI
N,CJ,5,T4,Labridae,Chlorurus_cf_sordidus,35,1,0.01585,3.06,BP,HD
N,CJ,5,T4,,unknown,10,5,,,,
N,CJ,5,T5,Pomacentridae,Stegastes_cf_obreptus,18,14,0.01995,2.99,BP,HD
N,CJ,5,T5,Pomacentridae,Abudefduf_sexfasciatus,15,50,0.02344,3.05,BP,O
N,CJ,5,T5,Siganidae,Siganus_fuscescens,5,40,0.01413,2.94,BP,MH
N,CJ,5,T5,Pomacentridae,Pomacentrus_coelestis,10,70,0.01479,2.92,BP,PL
N,CJ,5,T5,Labridae,Cheilinus_cf_trilobatus,20,1,0.01905,3,BP,MI
N,CJ,5,T5,Aulostomidae,Aulostomus_chinensis,50,1,0.002,3.2,BP,PI
N,CJ,5,T5,Labridae,Cheilinus_fasciatus,20,2,0.01202,3.06,BP,MI
N,CJ,5,T5,Serranidae,Cephalopholis_boenak,20,1,0.01259,3.05,BP,PI
N,CJ,5,T5,Labridae,Thalassoma_cf_hardwicke,15,2,0.01,3.04,BP,MI
N,MS,5,T1,Pomacentridae,Pomacentrus_coelestis,10,200,0.01479,2.92,BP,PL
N,MS,5,T1,Siganidae,Siganus_fuscescens,5,50,0.01413,2.94,BP,MH
N,MS,5,T1,Pomacentridae,Chromis_fumea,10,250,0.01622,3.08,BP,PL
N,MS,5,T1,Labridae,Labridae_sp,20,1,,,,
N,MS,5,T1,Labridae,Labridae_sp,5,6,,,,
N,MS,5,T1,Labridae,Labridae_sp,15,1,,,,
N,MS,5,T1,Labridae,Labridae_sp,10,3,,,,
N,MS,5,T2,Pomacentridae,Pomacentrus_coelestis,10,40,0.01479,2.92,BP,PL
N,MS,5,T2,Siganidae,Siganus_fuscescens,5,60,0.01413,2.94,BP,MH
N,MS,5,T2,Pomacentridae,Chromis_fumea,5,1,0.01622,3.08,BP,PL
N,MS,5,T2,Diodontidae,Diodon_cf_holocanthus,25,1,0.04365,2.87,BP,MI
N,MS,5,T3,Pomacentridae,Pomacentrus_coelestis,10,120,0.01479,2.92,BP,PL
N,MS,5,T3,Siganidae,Siganus_fuscescens,5,50,0.01413,2.94,BP,MH
N,MS,5,T3,Labridae,Halichoeres_cf_margaritaceus,15,1,0.01,3.08,BP,MI
N,MS,5,T4,Pomacentridae,Pomacentrus_coelestis,10,20,0.01479,2.92,BP,PL
N,MS,5,T4,Siganidae,Siganus_fuscescens,5,70,0.01413,2.94,BP,MH
N,MS,5,T4,Pomacentridae,Chromis_fumea,10,4,0.01622,3.08,BP,PL
N,MS,5,T4,Labridae,Labridae_sp,5,3,,,,
N,MS,5,T4,Diodontidae,Diodon_cf_holocanthus,25,1,0.04365,2.87,BP,MI
N,MS,5,T4,Pomacentridae,Stegastes_cf_obreptus,15,1,0.01995,2.99,BP,HD
N,MS,5,T5,Pomacentridae,Pomacentrus_coelestis,10,60,0.01479,2.92,BP,PL
N,MS,5,T5,Siganidae,Siganus_fuscescens,5,80,0.01413,2.94,BP,MH
N,MS,5,T5,Chaetodontidae,Chaetodon_cf_auriga,15,1,0.02512,2.99,BP,O
N,MS,5,T5,Pomacentridae,Chromis_fumea,5,5,0.01622,3.08,BP,PL
N,MS,5,T5,Labridae,Labroides_dimidiatus,10,1,0.00447,3.14,BP,MI
N,MS,5,T5,Labridae,Labridae_sp,10,1,,,,
N,MS,5,T5,Labridae,Labridae_sp,5,1,,,,
N,MS,5,T5,Pomacentridae,Stegastes_cf_obreptus,20,1,0.01995,2.99,BP,HD
N,MS,15,T1,Pomacentridae,Pomacentrus_coelestis,10,70,0.01479,2.92,BP,PL
N,MS,15,T1,Siganidae,Siganus_fuscescens,5,30,0.01413,2.94,BP,MH
N,MS,15,T1,Labridae,Thalassoma_cf_jansenii,15,1,0.977,3.04,BP,MI
N,MS,15,T1,Labridae,Halichoeres_cf_margaritaceus,15,1,0.01,3.08,BP,MI
N,MS,15,T2,Pomacentridae,Pomacentrus_coelestis,10,60,0.01479,2.92,BP,PL
N,MS,15,T2,Siganidae,Siganus_fuscescens,5,5,0.01413,2.94,BP,MH
N,MS,15,T2,Labridae,Labridae_sp,10,1,,,,
N,MS,15,T2,Labridae,Coris_cf_gaimard,20,1,0.01,3.06,BP,MI
N,MS,15,T2,Chaetodontidae,Chaetodon_speculum,15,1,0.02512,2.97,BP,SI
N,MS,15,T2,Chaetodontidae,Chaetodon_auripes,20,1,0.02291,3.01,BP,MI
N,MS,15,T2,Labridae,Labridae_sp,10,1,,,,
N,MS,15,T2,Labridae,Thalassoma_cf_amblycephalum,10,1,0.977,3.04,BP,PL
N,MS,15,T3,Pomacentridae,Pomacentrus_coelestis,10,80,0.01479,2.92,BP,PL
N,MS,15,T3,Siganidae,Siganus_fuscescens,5,30,0.01413,2.94,BP,MH
N,MS,15,T3,Labridae,Coris_cf_dorsomacula,20,1,0.01,3.06,BP,MI
N,MS,15,T3,Labridae,Macropharyngodon_negrosensis,5,1,0.01,3.06,BP,MI
N,MS,15,T3,Labridae,Labridae_sp,10,5,,,,
N,MS,15,T3,Labridae,Halichoeres_cf_margaritaceus,10,1,0.01,3.08,BP,MI
N,MS,15,T3,Chaetodontidae,Chaetodon_cf_vagabundus,20,2,0.01995,2.99,BP,O
N,MS,15,T4,Pomacentridae,Pomacentrus_coelestis,10,150,0.01479,2.92,BP,PL
N,MS,15,T4,Microdesmidae,Ptereleotris_evides,5,50,0.00389,3.12,BP,PL
N,MS,15,T4,Labridae,Labridae_sp,10,1,,,,
N,MS,15,T4,Labridae,Thalassoma_cf_jansenii,20,1,0.977,3.04,BP,MI
N,MS,15,T4,Labridae,Labridae_sp,5,3,,,,
N,MS,15,T4,Labridae,Coris_cf_dorsomacula,15,1,0.01,3.06,BP,MI
N,MS,15,T4,Labridae,Thalassoma_cf_lunare,15,1,0.01259,2.96,BP,MI
N,MS,15,T4,Labridae,Macropharyngodon_negrosensis,5,1,0.01,3.06,BP,MI
N,MS,15,T5,Pomacentridae,Chromis_notata,15,90,0.0166,3.04,BP,O
N,MS,15,T5,Pomacentridae,Chromis_fumea,10,50,0.01622,3.08,BP,PL
N,MS,15,T5,Pomacentridae,Chromis_notata,10,38,0.0166,3.04,BP,O
N,MS,15,T5,Pomacentridae,Chromis_notata,8,159,0.0166,3.04,BP,O
N,MS,15,T5,Pomacentridae,Pomacentrus_coelestis,10,200,0.01479,2.92,BP,PL
N,MS,15,T5,Chaetodontidae,Chaetodon_cf_auriga,20,1,0.02512,2.99,BP,O
N,MS,15,T5,Pomacanthidae,Pomacanthus_semicirculatus,30,1,0.0389,2.88,BP,O
N,MS,15,T5,Chaetodontidae,Chaetodon_auripes,10,1,0.02291,3.01,BP,MI
N,MS,15,T5,Labridae,Stethojulis_cf_trilineata,15,1,0.01047,3.09,BP,MI
N,MS,15,T5,Siganidae,Siganus_fuscescens,5,10,0.01413,2.94,BP,MH
N,MS,15,T5,Acanthuridae,Acanthurus_xanthopterus,15,1,0.01445,3,BP,HD
N,MS,15,T5,Diodontidae,Diodon_cf_holocanthus,25,7,0.04365,2.87,BP,MI
N,MS,15,T5,Diodontidae,Diploprion_bifasciatum,30,1,0.0182,3.04,BP,PI
N,MS,15,T5,Pomacentridae,Stegastes_cf_obreptus,10,2,0.01995,2.99,BP,HD
N,MS,15,T5,Chaetodontidae,Chaetodon_auripes,15,1,0.02291,3.01,BP,MI
N,MS,15,T5,Labridae,Labridae_sp,10,3,,,,
N,MS,15,T5,Labridae,Thalassoma_cf_lunare,15,1,0.01259,2.96,BP,MI
E,JH,15,T2,Pomacentridae,Amphiprion_clarkii,15,1,0.02291,2.99,BP,O
E,JH,15,T2,Pomacentridae,Dascyllus_trimaculatus,15,2,0.03467,2.99,BP,O
E,JH,15,T2,Mullidae,Parupeneus_barberinus,25,1,0.01148,3.08,BP,MI
E,JH,15,T2,Apogonidae,Cheilodipterus_macrodon,20,3,0.0123,3.17,BP,PI
E,JH,15,T2,Holocentridae,Sargocentron_melanospilos,20,3,0.01622,2.97,BP,MI
E,JH,15,T2,Acanthuridae,Acanthurus_cf_nigrofuscus,15,1,0.02512,2.96,BP,HD
E,JH,15,T2,Labridae,Labridae_sp,20,1,,,,
E,JH,15,T2,,unknown,25,10,,,,
